Österfeld;Österfeld;6027;de:08111:6027;8111000;Stuttgart;Stuttgart;S;20,1;S-Bahn;S1,S2,S3,S11;10001_,10002_,10003_,10011_;4;10;9,116751457;48,73749946
Universität;Universität;6008;de:08111:6008;8111000;Stuttgart;Stuttgart;S;20,1;"Bus;Nachtbus;S-Bahn";S1,S2,S3,S11,50,82,84,91,92,747,748,X74,N1;10001_,10002_,10003_,10011_,30050_,30082_,30084_,30091_,30092_,31747_,31748_,31X74_,33001_;13;10,30,31,33;9,105864214;48,74511762
Bad Cannstatt;Bad Cannstatt;6333;de:08111:6333;8111000;Stuttgart;Stuttgart;S;1,2;"Bus;R-Bahn;S-Bahn;SEV-Bus";S1,S2,S3,S11,S23,IRE1,RE5,IRE6,RE12,MEX13,MEX16,RB18,MEX19,RE90,45,56,S3E,SEV B;10001_,10002_,10003_,10011_,10023_,11001_,11005_,11006_,11012_,11013_,11016_,11018_,11019_,11080_,11090_,30045_,30056_,31003e,36001e;19;10,11,30,31,36;9,217468636;48,80127978
Rohr;Rohr;6001;de:08111:6001;8111000;Stuttgart;Stuttgart;S;1,2,20,38;"Bus;Nachtbus;R-Bahn;S-Bahn";S1,S2,S3,S11,S23,S30,RB14,81,N10;10001_,10002_,10003_,10011_,10023_,10030_,11014_,30081_,33010_;9;10,11,30,33;9,108158025;48,71799427
Vaihingen;Vaihingen;6002;de:08111:6002;8111000;Stuttgart;Stuttgart;S;1,2;"Bus;R-Bahn;S-Bahn;SEV-Bus;Stadtbahn";S1,S2,S3,S11,S23,S30,RB14,U1,U3,U8,U1E,81,82,84,86,SEV B;10001_,10002_,10003_,10011_,10023_,10030_,11014_,20001_,20003_,20008_,30001e,30081_,30082_,30084_,30086_,36001e;16;10,11,20,30,36;9,113913368;48,72698116
Hauptbahnhof (tief);Hauptbahnhof (tief);6118;de:08111:6118;8111000;Stuttgart;Stuttgart;S;10,1;S-Bahn;S1,S2,S3,S4,S5,S6,S11,S60;10001_,10002_,10003_,10004_,10005_,10006_,10011_,10060_;8;10;9,180228831;48,78338649
Stadtmitte;Stadtmitte;6056;de:08111:6056;8111000;Stuttgart;Stuttgart;S;10,1;"Bus;Nachtbus;S-Bahn;Stadtbahn";S1,S2,S3,S4,S5,S6,S11,S60,U2,U4,U11,U14,U34,X2,43,92,N2;10001_,10002_,10003_,10004_,10005_,10006_,10011_,10060_,20002_,20004_,20011_,20014_,20024_,30032_,30043_,30092_,33002_;17;10,20,30,33;9,173046906;48,77632953
Feuersee;Feuersee;6221;de:08111:6221;8111000;Stuttgart;Stuttgart;S;1,1;"Bus;Nachtbus;S-Bahn";S1,S2,S3,S4,S5,S6,S11,S60,X2,41,43,44,92,N2;10001_,10002_,10003_,10004_,10005_,10006_,10011_,10060_,30032_,30041_,30043_,30044_,30092_,33002_;14;10,30,33;9,165850846;48,7726173
Schwabstraße;Schwabstraße;6052;de:08111:6052;8111000;Stuttgart;Stuttgart;S;10,1;"Bus;Nachtbus;S-Bahn";S1,S2,S3,S4,S5,S6,S11,S60,X2,42,44,N2,N10;10001_,10002_,10003_,10004_,10005_,10006_,10011_,10060_,30032_,30042_,30044_,33002_,33010_;13;10,30,33;9,156496717;48,77013954
Nordbahnhof;Nordbahnhof;6295;de:08111:6295;8111000;Stuttgart;Stuttgart;S;1,10,20;"Nachtbus;R-Bahn;S-Bahn;Stadtbahn";S4,S5,S6,S60,IRE1,RE8,RE12,RB17,RB18,U12,N5;10004_,10005_,10006_,10060_,11001_,11008_,11012_,11017_,11018_,20012_,33005_;11;10,11,20,33;9,188061449;48,80374161
Feuerbach;Feuerbach;6157;de:08111:6157;8111000;Stuttgart;Stuttgart;S;20,1;"Bus;Nachtbus;R-Bahn;S-Bahn;Stadtbahn";S4,S5,S6,S60,IRE1,RE8,RE12,RB17,RB18,U6,U13,U16,53,91,501,502,503,N3;10004_,10005_,10006_,10060_,11001_,11008_,11012_,11017_,11018_,20006_,20013_,20016_,30053_,30091_,31501_,31502_,31503_,33003_;18;10,11,20,30,31,33;9,169186287;48,81363554
Zuffenhausen;Zuffenhausen;6465;de:08111:6465;8111000;Stuttgart;Stuttgart;S;1,2;"Bus;R-Bahn;S-Bahn";S4,S5,S6,S60,S62,IRE1,RE8,RE12,RB17,RB18,52,53,99,508;10004_,10005_,10006_,10060_,10062_,11001_,11008_,11012_,11017_,11018_,30052_,30053_,30099_,31508_;14;10,11,30,31;9,167156375;48,82960884
