Wernau (N);Wernau (N);4241;de:08116:4241;8116072;Wernau am Neckar;Wernau (N);ES;3,4,41,51;"Bus;R-Bahn;Ruftaxi;S-Bahn;SEV-Bus";S1,IRE6,RE12,RB18,S1E,145,146,RT145,RT146;10001_,11006_,11012_,11018_,11080_,31001e,31145_,31146_,50145_,50146_;10;10,11,31,50;9,413654423;48,69417221
Wendlingen (N);Wendlingen (N);4257;de:08116:4257;8116071;Wendlingen am Neckar;Wendlingen (N);ES;4,51;"Bus;Linientaxi;Nachtbus;R-Bahn;S-Bahn;SEV-Bus";S1,IRE6,RE12,RB18,S1E,151,152,154,155,184,196,N81,X10,LT151;10001_,11006_,11012_,11018_,11080_,31001e,31151_,31152_,31154_,31155_,31184_,31196_,34081_,35X10_,52151_;15;10,11,31,34,35,52;9,373662098;48,67368917
Kirchheim (T);Kirchheim (T);4211;de:08116:4211;8116033;Kirchheim unter Teck;Kirchheim (T);ES;5,61;"Bus;R-Bahn;Ruftaxi;S-Bahn;SEV-Bus";S1,RB64,S1E,144,161,163,164,165,165A,166,168,170,173,173A,175,175A,176,177,177A,914,914A,X10,RT161,RT163,RT165,RT168,RT176,RT177,RT17;10001_,11064_,31001e,31144_,31161_,31163_,31164_,31165_,31165a,31166_,31168_,31170_,31173_,31173a,31175_,31175a,31176_,31177_,31177a,31914_,31914a,35X10_,50161_,50163_,50165_,50168_,50176_,50177_,51017_;29;10,11,31,35,50,51;9,443872422;48,64415981
Untertürkheim;Untertürkheim;6085;de:08111:6085;8111000;Stuttgart;Stuttgart;S;20,1;"Bus;Nachtbus;R-Bahn;S-Bahn;SEV-Bus;Stadtbahn";S1,RE5,IRE6,RB11,RE12,MEX16,RB18,U4,U13,60,61,N6,N7,SEV B;10001_,11005_,11006_,11011_,11012_,11016_,11018_,11080_,20004_,20013_,30060_,30061_,33006_,33007_,36001e;15;10,11,20,30,33,36;9,250467074;48,77984679
Altbach;Altbach;1800;de:08116:1800;8116004;Altbach;Altbach;ES;41,3;"R-Bahn;S-Bahn";S1,RE5,IRE6,RE12,MEX16,RB18;10001_,11005_,11006_,11012_,11016_,11018_,11080_;7;10,11;9,382434033;48,72031354
Esslingen (N);Esslingen (N);7800;de:08116:7800;8116019;Esslingen am Neckar;Esslingen (N);ES;2,31;"R-Bahn;S-Bahn";S1,RE5,IRE6,RE12,MEX16,RB18;10001_,11005_,11006_,11012_,11016_,11018_,11080_;7;10,11;9,300578149;48,73854148
Mettingen;Mettingen;1801;de:08116:1801;8116019;Esslingen am Neckar;Mettingen;ES;31,2;"Bus;R-Bahn;S-Bahn;SEV-Bus";S1,RE5,IRE6,RE12,MEX16,RB18,101,SEV B;10001_,11005_,11006_,11012_,11016_,11018_,11080_,31101_,36001e;9;10,11,31,36;9,275799007;48,74696655
Zell;Zell;1803;de:08116:1803;8116019;Esslingen am Neckar;Zell (Esslingen);ES;31,41,2,3;"Bus;R-Bahn;S-Bahn";S1,RE5,IRE6,RE12,MEX16,RB18,102,103,114A,115,138,140;10001_,11005_,11006_,11012_,11016_,11018_,11080_,31102_,31103_,31114a,31115_,31138_,31140_;13;10,11,31;9,359739507;48,72436142
Oberesslingen;Oberesslingen;1802;de:08116:1802;8116019;Esslingen am Neckar;Oberesslingen;ES;31,2;"Bus;R-Bahn;S-Bahn";S1,RE5,IRE6,RE12,MEX16,RB18,138;10001_,11005_,11006_,11012_,11016_,11018_,11080_,31138_;8;10,11,31;9,327277435;48,72983585
Obertürkheim;Obertürkheim;6091;de:08111:6091;8111000;Stuttgart;Stuttgart;S;20,31,1,2;"Bus;Nachtbus;R-Bahn;S-Bahn;SEV-Bus";S1,RE5,IRE6,RE12,MEX16,RB18,61,62,65,101,N7,SEV B;10001_,11005_,11006_,11012_,11016_,11018_,11080_,30061_,30062_,30065_,31101_,33007_,36001e;13;10,11,30,31,33,36;9,268167932;48,76175015
